"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to preform CURD test on categories endpoint","I read all categories data from the application","SUCCESS","2022-06-19T14:23:01.253+02:00[Europe/Paris]","0.0","4.68"
"As a user I would like to preform CURD test on categories endpoint","I create a new category on categories end point","SUCCESS","2022-06-19T14:23:07.510+02:00[Europe/Paris]","0.0","1.6"
"As a user I would like to preform CURD test on categories endpoint","I read a newly created category on categories end point","SUCCESS","2022-06-19T14:23:09.159+02:00[Europe/Paris]","0.0","0.09"
"As a user I would like to preform CURD test on categories endpoint","I update a newly created category on categories end point","SUCCESS","2022-06-19T14:23:09.798+02:00[Europe/Paris]","0.0","0.11"
"As a user I would like to preform CURD test on categories endpoint","I delete a newly created category on categories end point","SUCCESS","2022-06-19T14:23:09.975+02:00[Europe/Paris]","0.0","0.61"
"As a user I would like to preform CURD test on products endpoint","I read all products data from the application","SUCCESS","2022-06-19T14:23:10.695+02:00[Europe/Paris]","0.0","1.55"
"As a user I would like to preform CURD test on products endpoint","I create a new product on products end point","FAILURE","2022-06-19T14:23:12.283+02:00[Europe/Paris]","0.0","0.1"
"As a user I would like to preform CURD test on products endpoint","I read a newly created product on products end point","FAILURE","2022-06-19T14:23:12.529+02:00[Europe/Paris]","0.0","0.06"
"As a user I would like to preform CURD test on products endpoint","I update a newly created product on products end point","FAILURE","2022-06-19T14:23:12.656+02:00[Europe/Paris]","0.0","0.06"
"As a user I would like to preform CURD test on products endpoint","I delete a newly created product on products end point","FAILURE","2022-06-19T14:23:12.762+02:00[Europe/Paris]","0.0","0.04"
"As a user I would like to preform CURD test on services endpoint","I read all services data from the application","SUCCESS","2022-06-19T14:23:12.886+02:00[Europe/Paris]","0.0","0.06"
"As a user I would like to preform CURD test on services endpoint","I create a new service on services end point","SUCCESS","2022-06-19T14:23:12.983+02:00[Europe/Paris]","0.0","0.1"
"As a user I would like to preform CURD test on services endpoint","I read a newly created service on services end point","SUCCESS","2022-06-19T14:23:13.171+02:00[Europe/Paris]","0.0","0.08"
"As a user I would like to preform CURD test on services endpoint","I update a newly created service on services end point","SUCCESS","2022-06-19T14:23:13.284+02:00[Europe/Paris]","0.0","0.06"
"As a user I would like to preform CURD test on services endpoint","I delete a newly created service on services end point","SUCCESS","2022-06-19T14:23:13.419+02:00[Europe/Paris]","0.0","0.14"
"As a user I would like to preform CURD test on stores endpoint","I create a new store on stores end point","SUCCESS","2022-06-19T14:23:13.698+02:00[Europe/Paris]","0.0","0.17"
"As a user I would like to preform CURD test on stores endpoint","I read a newly created store on stores end point","SUCCESS","2022-06-19T14:23:13.963+02:00[Europe/Paris]","0.0","0.08"
"As a user I would like to preform CURD test on stores endpoint","I update a newly created store on stores end point","SUCCESS","2022-06-19T14:23:14.089+02:00[Europe/Paris]","0.0","0.08"
"As a user I would like to preform CURD test on stores endpoint","I delete a newly created store on stores end point","SUCCESS","2022-06-19T14:23:14.195+02:00[Europe/Paris]","0.0","0.05"
"As a user I would like to preform CURD test on stores endpoint","I read all stores data from the application","SUCCESS","2022-06-19T14:23:14.293+02:00[Europe/Paris]","0.0","1.21"
"As a user I would like to preform CURD test on utilities endpoint","I check version of utilities endpoint","SUCCESS","2022-06-19T14:23:15.677+02:00[Europe/Paris]","0.0","0.05"
"As a user I would like to preform CURD test on utilities endpoint","I do health check of utilities endpoint","SUCCESS","2022-06-19T14:23:15.749+02:00[Europe/Paris]","0.0","0.06"
